week_,mint,burn,netChange,acumBal
2025-08-18,3.1,2.8,0.3,0.3
2025-08-25,2.19,1.14,1.05,1.35
2025-09-01,0.21,0.201002,0.008998,1.358998
2025-09-08,9.15206,0.001072,9.150988,10.509986
2025-09-15,28643073.884791,19502610.129927,9140463.754864,9140474.26485
2025-09-22,35631016.511583,31887531.671146,3743484.840437,12883959.105287
2025-09-29,37942850.31752,39732328.656492,-1789478.338972,11094480.766315
2025-10-06,79278191.247504,70937531.032981,8340660.214523,19435140.980838
2025-10-13,41971904.069836,39101333.751471,2870570.318365,22305711.299203
2025-10-20,54226882.727641,52111023.198175,2115859.529466,24421570.828669
2025-10-27,43115471.975723,42756996.192093,358475.78363,24780046.612299
2025-11-03,74509273.105656,67907695.773848,6601577.331808,31381623.944107
2025-11-10,74176143.498917,57031538.657848,17144604.841069,48526228.785176
2025-11-17,52291548.12832,63563167.897257,-11271619.768937,37254609.016239
2025-11-24,68068909.676118,54428514.776522,13640394.899596,50895003.915835
2025-12-01,41489485.776046,49958028.714744,-8468542.938698,42426460.977137
2025-12-08,62880018.490895,49505815.844944,13374202.645951,55800663.623088
2025-12-15,404632752.788632,40267652.949952,364365099.83868,420165763.461768
2025-12-22,18003809.055001,28824103.559876,-10820294.504875,409345468.956893
2025-12-29,25036801.841378,70800614.239164,-45763812.397786,363581656.559107
2026-01-05,44545425.682875,42217254.617703,2328171.065172,365909827.624279
2026-01-12,27704386.96878,50529288.64558,-22824901.6768,343084925.947479
2026-01-19,39889898.852818,53796243.05951,-13906344.206692,329178581.740787
2026-01-26,89978184.867041,90859030.655857,-880845.788816,328297735.951971
2026-02-02,63078946.398582,147070141.460379,-83991195.061797,244306540.890174
2026-02-09,50244688.713604,79184432.123755,-28939743.410151,215366797.480023
2026-02-16,30340227.713354,57021098.180396,-26680870.467042,188685927.012981
2026-02-23,131746437.850306,63718915.920627,68027521.929679,256713448.94266
2026-03-02,203300386.30826,57210845.595164,146089540.713096,402802989.655756
2026-03-09,267090296.969962,71082310.84256,196007986.127402,598810975.783158
2026-03-16,260362462.001216,56849886.868908,203512575.132308,802323550.915466
2026-03-23,206141681.865246,67676812.150465,138464869.714781,940788420.630247
2026-03-30,277889994.409049,63933026.050939,213956968.35811,1154745388.988357
2026-04-06,327547655.120317,80650435.641582,246897219.478735,1401642608.467092
2026-04-13,165294456.2041,86507329.193406,78787127.010694,1480429735.477786
2026-04-20,42314497.318549,72502631.161076,-30188133.842527,1450241601.635259
2026-04-27,31053565.249857,60119987.246933,-29066421.997076,1421175179.638183
2026-05-04,41628670.576073,64226213.805885,-22597543.229812,1398577636.408371
2026-05-11,705631463.756586,628170723.049322,77460740.707264,1476038377.115635
2026-05-18,1385999445.345863,403783273.347543,982216171.99832,2458254549.113955
2026-05-25,642790240.398223,204777274.652337,438012965.745886,2896267514.859841
2026-06-01,2059860552.864846,508918423.653273,1550942129.211573,4447209644.071414
2026-06-08,1528272365.391963,722204079.712928,806068285.679035,5253277929.750449
